,,,,,2013,"""001420""",הוצאות הבחירות לכנסת,174559,,"""001430""",
,,,,,2013,"""001490""",רזרבות,15074,,"""001402""",
2012,1503,היחידה לקליטת חיילים,0,9837,2013,"""001503""",היחידה לקליטת חיילים,0,,,
2012,1530,"מעבר צה""ל לנגב",0,152075,2013,"""001510""",תנופה 1,0,,,
2012,1540,פינוי מחנות,0,0,2013,"""001530""",תנופה,411673,,,
2012,1599,חשבון מעבר,0,0,2013,"""001540""",פינוי מחנות,20499,,,
2012,1602,"מיגון אוכלוסיה (אב""כ)",102901,182780,2013,"""001613""",מיגון אוכלוסיה -סופת,100619,,"""001602""",
2012,1605,הערכות ותוכנית רב שנתית,500,316,2013,"""001615""",כיבוי אש,23750,,"""001607""",
2012,1606,רזרבה,8938,0,2013,"""001616""",מרכיבי ביטחון,70215,,"""001610""",
2012,1607,כיבוי אש מהאויר,0,66547,2013,"""001617""",עורף לאומי,173628,,"""001608""",
2012,1608,עורף לאומי,0,7026,2013,"""001618""",רזרבה,23233,,"""001606""",
2012,1610,מרכיבי ביטחון,77674,175596,2013,"""001731""",המנהל האזרחי באזור,40327,,"""001731""",
2012,1611,רשות חירום לאומית,14061,16789,2013,"""001732""",מנהלת תיאום הפעולות,46871,,"""001732""",
2012,1612,המשרד להגנת העורף,0,10247,2013,"""001733""",מפקדת תיאום וקישור חבל,13456,,"""001733""",
2012,1720,מפקדת תיאום וקישור,0,1,,,,,,,
2012,1731,המנהל האזרחי באזור,44658,41962,,,,,,,
2012,1732,מנהלת תיאום הפעולות,18961,22509,,,,,,,
2012,1733,מפקדת תיאום וקישור חבל,17213,33831,,,,,,,
2012,1740,תכניות שונות,0,0,,,,,,,
2012,1799,חשבון מעבר,0,-7,,,,,,,
,,,,,,,,,,,
2012,1803,מענקים מיועדים לרשויות,426477,126391,2013,"""001811""",העברות לרשויות מקומיות,3382402,,"""001801""",
2012,1804,שירותי דת,0,354,2013,"""001890""",רזרבות,105212,,"""00180399""",
2012,1901,מינהל ושירותים כלליים,55762,62237,2013,"""001940""",מנהל מדע,143355,,"""001904""",
,,,,,2013,"""001941""",מטה המשרדים,63214,,"""001901""",
2012,1907,רזרבה,34870,0,2013,"""001942""",מינהל התרבות,771481,,"""001921,001931""",
2012,1921,רשות העתיקות,57113,94567,2013,"""001943""",מינהל הספורט,130012,,"""001937""",
2012,1931,תרבות,642185,720563,2013,"""001944""",רזרבות,9260,,"""001907""",
,,,,,,,,,,,
,,,,,,,,,,,
2012,2101,תחום פעולה כללי,30500,52940,2013,"""002110""",מטה,47210,,"""002101""",
2012,2102,השתתפות בתקציב המוסדות,6650571,7462971,2013,"""002111""",תמיכה בהוראה ובמחקר,8526128,,"""002102,002103,002104,002106""",
2012,2103,השתתפות בפעולות,506127,589669,2013,"""002112""",רזרבה,257201,,"""002105""",
2012,2104,פעולות עם משרדים,9247,12133,,,,,,,
2012,2105,רזרבה להתייקרויות,218124,0,,,,,,,
2012,2106,פיתוח מוסדות להשכלה,50000,78950,,,,,,,
,,,,,,,,,,,
2012,2501,תגמולים לנכים,2791563,2896829,2013,"""002501""",תגמולים לנכים,51769,,"""0025111,0025112""",
2012,2599,חשבון מעבר,0,-248,2013,"""002502""",תגמולים ישירים וטיפול,2990075,,"""0025122,0025131,0025132,0025135""",
2012,2601,תחום פעולה כללי,138662,168434,2013,"""002503""",רזרבה,99961,,"""002501""",
2012,2603,פעילות יחידות המשרד,152840,197275,2013,"""002611""",שכר ותפעול,183298,,"""002601""",
