2012,"""00040315""",רזרבה למפקד שוטף,11328,2014,"""00046103""",מרחב מרכז - הר חברון,1298,"""00332816"""
2012,"""00040401""",רזרבה למשרד ראש הממשלה,96201,2014,"""00046104""",מרחב דרום,8099,"""00332817"""
2012,"""00040510""",הנהלת הלשכה,7186,2014,"""00046105""",פעולות המטה,33908,"""00332818"""
2012,"""00040601""",שכר מנהלת תנופה,15531,2014,"""00046201""",מועצות דתיות,287994,"""00040801"""
2012,"""00040603""",אמרכלות מנהלת תנופה,3757,2014,"""00046202""",תמיכה בשירותי דת,10316,"""00040802"""
2012,"""00040604""",פעולות מנהלת תנופה,4150,2014,"""00046203""",בתי עלמין,20400,"""00040806"""
2012,"""00040608""",הסכמים לקבוצות על פי,40000,2014,"""00046204""",תמיכה בהקמת מוסדות דת,25414,"""00040809"""
2012,"""00040610""",סיוע לפרטים - מגורים,33572,2014,"""00046205""",שכר,18119,"""00040810"""
2012,"""00040611""",סיוע לפרטים - תעסוקה,23300,2014,"""00046206""",תפעול,13788,"""00040804"""
2012,"""00040612""",סיוע לעסקים,66400,2014,"""00046301""",שכר,12549,"""00042101"""
2012,"""00040614""",מימון פעולות משרדי,54390,2014,"""00046302""",תפעול,6020,"""00042102"""
2012,"""00040801""",מועצות דתיות,201756,2014,"""00046303""",פיתוח הנגב והגליל,118107,"""00042103"""
2012,"""00040802""",שירותי דת,74147,2014,"""00046304""",רזרבות,17962,"""00042303"""
2012,"""00040803""",בתי כנסת,75,2014,"""00046401""",שכר,12830,
2012,"""00040804""",רזרבות,11121,2014,"""00046402""",תפעול,7838,חדש
2012,"""00040806""",פתוח בתי עלמין,51976,2014,"""00047001""",רזרבה לעמידה במגבלה,159370,"""00040401"""
2012,"""00040809""",פיתוח מבני דת,33000,,,,,
2012,"""00040810""",שכר ואמרכלות,21703,,,,,
2012,"""00040901""",שכר,10531,,,,,
2012,"""00040902""",שירותי כוח אדם וייעוץ,509,,,,,
2012,"""00040903""",אמרכלות,6123,,,,,
2012,"""00040904""",מיכון,140,,,,,
2012,"""00040905""",הסברה אירועים,590,,,,,
2012,"""00040906""",פעולות למען הכשרות,265,,,,,
2012,"""00040907""",פעולות הרבנות הראשית,1600,,,,,
